date,stoxx50
2/19/2024,4763.07
2/20/2024,4760.28
2/21/2024,4775.31
2/22/2024,4855.36
2/23/2024,4872.57
2/26/2024,4864.29
2/27/2024,4885.74
2/28/2024,4883.77
2/29/2024,4877.77
3/1/2024,4894.86
3/4/2024,4912.92
3/5/2024,4893.07
3/6/2024,4915.49
3/7/2024,4974.22
3/8/2024,4961.11
3/11/2024,4930.42
3/12/2024,4983.2
3/13/2024,5000.55
3/14/2024,4993.12
3/15/2024,4986.02
3/18/2024,4982.76
3/19/2024,5007.92
3/20/2024,5000.31
3/21/2024,5052.31
3/22/2024,5031.15
3/25/2024,5044.19
3/26/2024,5064.18
3/27/2024,5081.74
3/28/2024,5083.42
4/2/2024,5042
4/3/2024,5069.25
4/4/2024,5070.76
4/5/2024,5014.75
4/8/2024,5046.05
4/9/2024,4990.9
4/10/2024,5000.83
4/11/2024,4966.68
4/12/2024,4955.01
4/15/2024,4984.48
4/16/2024,4916.99
4/17/2024,4914.13
4/18/2024,4936.57
4/19/2024,4918.09
4/22/2024,4936.85
4/23/2024,5008.17
4/24/2024,4989.88
4/25/2024,4939.01
4/26/2024,5006.85
4/29/2024,4981.09
4/30/2024,4921.22
5/2/2024,4890.61
5/3/2024,4921.48
5/6/2024,4956.96
5/7/2024,5016.1
5/8/2024,5038.17
5/9/2024,5054.41
5/10/2024,5085.08
5/13/2024,5078.96
5/14/2024,5080.29
5/15/2024,5100.9
5/16/2024,5072.45
5/17/2024,5064.14
5/20/2024,5074.34
5/21/2024,5046.99
5/22/2024,5025.17
5/23/2024,5037.6
5/24/2024,5035.41
5/27/2024,5059.2
5/28/2024,5030.35
5/29/2024,4963.2
5/30/2024,4982.18
5/31/2024,4983.67
6/3/2024,5003.54
6/4/2024,4953.37
6/5/2024,5035.66
6/6/2024,5069.09
6/7/2024,5051.31
6/10/2024,5016.48
6/11/2024,4965.09
6/12/2024,5034.43
6/13/2024,4935.5
6/14/2024,4839.14
6/17/2024,4880.42
6/18/2024,4915.47
6/19/2024,4885.45
6/20/2024,4947.73
6/21/2024,4907.3
6/24/2024,4950.98
6/25/2024,4935.97
6/26/2024,4915.94
6/27/2024,4902.6
6/28/2024,4894.02
7/1/2024,4929.99
7/2/2024,4906.33
7/3/2024,4965.8
7/4/2024,4987.48
7/5/2024,4979.39
7/8/2024,4969.83
7/9/2024,4903.62
7/10/2024,4958.86
