date,label,sentiment
2020-11-05,25.85,0.0
2020-11-08,26.97,0.0
2020-11-09,26.64,0.794368
2020-11-10,26.52,0.674728
2020-11-11,26.32,0.750923
2020-11-12,26.68,0.611565
2020-11-15,27.79,0.0
2020-11-16,27.04,-0.80943
2020-11-17,27.59,-0.97312
2020-11-18,26.75,0.709823
2020-11-19,27.15,-0.97486
2020-11-22,27.67,0.0
2020-11-23,28.04,0.653412
2020-11-24,28.04,-0.92512
2020-11-25,28.54,-0.85394
2020-11-26,28.59,0.792603
2020-11-29,29.6,0.0
2020-11-30,29.33,-0.85216
2020-12-01,30.01,0.834347
2020-12-02,29.46,0.0
2020-12-03,30.57,0.945458
2020-12-06,30.07,0.0
2020-12-07,30.02,-0.94507
2020-12-08,30.16,-0.96721
2020-12-09,31.36,-0.86312
2020-12-10,30.98,-0.4934
2020-12-13,31.27,0.0
2020-12-14,32.43,-0.92423
2020-12-15,32.03,0.810358
2020-12-16,32.21,0.947704
2020-12-17,31.36,0.951165
2020-12-20,31.14,0.0
2020-12-21,31.39,-0.74245
2020-12-22,32.15,0.0
2020-12-23,32.41,-0.92256
2020-12-27,33.66,0.0
2020-12-28,33.25,0.831374
2020-12-29,32.42,-0.7255
2020-12-30,32.94,0.0
2021-01-03,33.89,0.0
2021-01-04,33.15,0.807791
2021-01-05,33.83,0.692784
2021-01-06,34.97,-0.77503
2021-01-07,35.14,0.931955
2021-01-10,34.76,0.0
2021-01-11,34.88,-0.45307
2021-01-12,33.88,0.919494
2021-01-13,33.76,0.902645
2021-01-14,31.96,0.385801
2021-01-17,31.84,0.0
